insee;code;city
12078;12400;LES COSTES GOZON
12082;12230;LA COUVERTOIRADE
12083;12110;CRANSAC
12090;12000;DRUELLE
12098;12190;ESTAING
12100;12300;FIRMI
12115;12230;L HOSPITALET DU LARZAC
12124;12500;LASSOUTS
12128;12440;LESCURE JAOUL
12135;12270;LUNAC
12137;12160;MANHAC
12144;12120;MELJAC
12146;12000;LE MONASTERE
12147;12360;MONTAGNOL
12157;12630;MONTROZIER
12166;12600;MUROLS
12170;12700;NAUSSAC
12193;12320;PRUINES
12202;12000;RODEZ
12207;12120;RULLAC ST CIRQ
12220;12230;STE EULALIE DE CERNON
12223;12420;ARGENCES EN AUBRAC
12223;12420;ARGENCES EN AUBRAC
12231;12230;ST JEAN DU BRUEL
12234;12120;STE JULIETTE SUR VIAUR
12235;12800;ST JUST SUR VIAUR
12237;12560;ST LAURENT D OLT
12242;12200;ST REMY
12249;12370;ST SEVER DU MOUSTIER
12253;12410;SALLES CURAN
12260;12230;SAUCLIERES
12263;12200;SAVIGNAC
12267;12170;LA SELVE
12272;12700;SONNAC
12275;12360;TAURIAC DE CAMARES
12296;12490;VIALA DU TARN
39331;39250;MIGNOVILLARD
39331;39250;MIGNOVILLARD
39349;39210;MONTAIN
39353;39320;MONTFLEUR
39354;39800;MONTHOLIER
39361;39290;MONTMIREY LE CHATEAU
39366;39300;MONT SUR MONNET
39368;39400;HAUTS DE BIENNE
39375;39270;MOUTONNE
39379;39140;NANCE
39389;39300;NEY
39391;39250;NOZEROY
39392;39290;OFFLANGES
39397;39270;ORGELET
39397;39270;ORGELET
39405;39100;PARCEY
39408;39130;PATORNAY
39411;39570;PERRIGNY
39413;39370;LA PESSE
39424;39150;LES PLANCHES EN MONTAGNE
39434;39800;POLIGNY
39439;39600;PORT LESNEY
39448;39120;RAHON
39454;39230;RECANOZ
39464;39350;ROMAIN
39471;39140;RUFFEY SUR SEILLE
39477;39120;ST BARAING
39478;39200;ST CLAUDE
39478;39200;ST CLAUDE
39480;39570;ST DIDIER
39483;39240;ST HYMETIERE
39486;39230;ST LAMAIN
39498;39700;SALANS
39502;39380;SANTANS
39503;39300;SAPOIS
39506;39240;SAVIGNA
39507;39120;SELIGNEY
39514;39700;SERRE LES MOULIERES
39517;39300;SIROD
39518;39130;SONGESON
39519;39130;SOUCIA
39527;39350;TAXENNE
39532;39160;THOISSIA
39540;39300;VALEMPOULIERES
39542;39240;VALFIN SUR VALOUSE
39545;39300;LE VAUDIOUX
39548;39800;VAUX SUR POLIGNY
39552;39570;VERNANTOIS
39559;39380;LA VIEILLE LOYE
39562;39200;VILLARD SUR BIENNE
39567;39570;VILLENEUVE SOUS PYMONT
39569;39600;VILLERS FARLAY
39571;39120;VILLERS ROBERT
39576;39190;VINCELLES
39577;39230;VINCENT FROIDEVILLE
39579;39360;VIRY
39585;39360;VULVOZ
40001;40800;AIRE SUR L ADOUR
40002;40330;AMOU
40005;40320;ARBOUCAVE
40006;40110;ARENGOSSE
40009;40110;ARJUZANX
40012;40090;ARTASSENX
40016;40700;AUBAGNAN
40025;40090;BASCONS
40027;40700;BASSERCLES
40040;40370;BEYLONGUE
40046;40600;BISCARROSSE
40053;40120;BOURRIOT BERGONCE
40060;40430;CALLEN
40064;40090;CANENX ET REAUT
40066;40400;CARCARES STE CROIX
40068;40380;CASSEN
40070;40270;CASTANDET
40074;40330;CASTEL SARRAZIN
40079;40700;CAZALIS
40086;40500;COUDURES
40091;40800;DUHORT BACHEN
40092;40500;DUMES
40101;40350;GAAS
40104;40380;GAMARDE LES BAINS
40109;40330;GAUJACQ
40115;40465;GOUSSE
40119;40700;HAGETMAU
40121;40250;HAURIET
40127;40190;HONTANX
40129;40230;JOSSE
40133;40530;LABENNE
40154;40170;LEVIGNACQ
40161;40240;LUBBON
40162;40090;LUCBARDEZ ET BARGUES
40163;40210;LUE
40165;40630;LUGLON
40166;40270;LUSSAGNET
40171;40410;MANO
40176;40240;MAUVEZIN D ARMAGNAC
40178;40090;MAZEROLLES
40183;40350;MIMBASTE
40186;40290;MISSON
40187;40660;MOLIETS ET MAA
79173;79500;MAZIERES SUR BERONNE
79174;79500;MELLE
79184;79800;LA MOTHE ST HERAY
79191;79000;NIORT
79196;79100;OIRON
79196;79100;OIRON
79198;79170;PAIZAY LE CHAPT
79199;79500;PAIZAY LE TORT
79203;79100;PAS DE JEU
79208;79200;LA PEYRATTE
79211;79110;PIOUSSAY
79213;79200;POMPAIRE
79215;79130;POUGNE HERISSON
79218;79390;PRESSIGNY
79229;79270;LA ROCHENARD
79230;79120;ROM
79231;79260;ROMANS
79242;79150;VOULMENTIN
79247;79360;ST ETIENNE LA CIGOGNE
79253;79400;ST GEORGES DE NOISNE
79263;79160;ST LAURS
79264;79500;ST LEGER DE LA MARTINIERE
79271;79310;ST MARC LA LANDE
79281;79410;ST MAXIRE
79294;79230;ST ROMANS DES CHAMPS
79298;79270;ST SYMPHORIEN
79308;79000;SCIECQ
79309;79240;SCILLE
79310;79170;SECONDIGNE SUR BELLE
79326;79390;THENEZAY
79336;79120;VANCAIS
79337;79270;LE VANNEAU IRLEAU
79340;79420;VAUSSEROUX
79354;79310;VOUHE
80003;80560;ACHEUX EN AMIENOIS
80009;80690;AILLY LE HAUT CLOCHER
80017;80200;ALLAINES
80026;80140;ARGUEL
80030;80120;ARRY
80034;80200;ATHIES
80046;80270;AVELESGES
80055;80600;BARLY
80062;80430;BEAUCAMPS LE VIEUX
80068;80370;BEAUMETZ
80076;80870;BEHEN
80079;80160;BELLEUSE
80084;80140;BERMESNIL
80085;80370;BERNATRE
80093;80850;BERTEAUCOURT LES DAMES
80095;80560;BERTRANCOURT
80097;80190;BETHENCOURT SUR SOMME
80100;80610;BETTENCOURT ST OUEN
80101;80700;BEUVRAIGNES
80105;80190;BILLANCOURT
80109;80150;LE BOISLE
80110;80230;BOISMONT
80112;80800;BONNAY
80117;80830;BOUCHON
80119;80540;BOUGAINVILLE
80125;80500;BOUSSICOURT
80126;80220;BOUTTENCOURT
80128;80200;BOUVINCOURT EN VERMANDOIS
80129;80300;BOUZINCOURT
80130;80540;BOVELLES
80150;80200;BUIRE COURCELLES
80153;80560;BUS LES ARTOIS
80154;80200;BUSSU
80156;80800;BUSSY LES DAOURS
80157;80290;BUSSY LES POIX
80163;80132;CAMBRON
80165;80540;CAMPS EN AMIENOIS
80167;80150;CANCHY
80176;80700;CARREPUIS
80180;80310;CAVILLON
80186;80320;CHAULNES
80188;80250;CHAUSSOY EPAGNY
80189;80700;LA CHAVATTE
80198;80540;CLAIRY SAULCHOIX
80211;80160;CONTY
80211;80160;CONTY
80213;80440;COTTENCHY
80214;80250;COULLEMELLE
80215;80135;COULONVILLERS
80217;80560;COURCELLES AU BOIS
80223;80700;CREMERY
80224;80190;CRESSY OMENCOURT
80230;80190;CURCHY
80233;80700;DANCOURT POPINCOURT
80243;80370;DOMESMONT
80246;80440;DOMMARTIN
80249;80620;DOMQUEUR
80250;80150;DOMVAST
80260;80132;DRUCAT
80263;80700;L ECHELLE ST AURIN
80265;80570;EMBREVILLE
80266;80300;ENGLEBELMER
80267;80200;ENNEMAIN
80268;80580;EPAGNE EPAGNETTE
80270;80370;EPECAMPS
80275;80360;EQUANCOURT
32256;32300;MIRANDE
32258;32390;MIREPOIX
32261;32130;MONBLANC
32265;32300;MONCLAR SUR LOSSE
32267;32260;MONFERRAN PLAVES
32270;32220;MONGAUSY
32271;32240;MONGUILHEM
32272;32140;MONLAUR BERNET
32273;32230;MONLEZUN
32276;32220;MONTADET
32291;32240;MORMES
32299;32800;NOULENS
32305;32110;PANJAS
32308;32130;PEBEES
32310;32460;PERCHEDE
32311;32700;PERGAIN TAILLAC
32315;32320;PEYRUSSE GRANDE
32318;32500;PIS
32320;32340;PLIEUX
32322;32130;POMPIAC
32326;32320;POUYLEBON
32328;32480;POUY ROQUELAURE
32330;32160;PRECHAC SUR ADOUR
32335;32120;PUYCASQUIER
32341;32390;REJAUMONT
32344;32400;RISCLE
32345;32480;LA ROMIEU
32349;32430;ROQUELAURE ST AUBIN
32353;32420;SABAILLAN
32358;32340;ST ANTOINE
32363;32300;STE AURENCE CAZAUX
32375;32300;ST ELIX THEUX
32377;32430;ST GEORGES
32379;32200;ST GERMIER
32387;32220;ST LOUBE
32392;32450;ST MARTIN GIMOIS
32400;32100;ST ORENS POUY PETIT
32403;32290;ST PIERRE D AUBEZIES
32404;32310;ST PUY
32408;32370;SALLES D ARMAGNAC
32409;32140;SAMARAN
32411;32260;SANSAN
32415;32170;SARRAGUZAN
32417;32500;LA SAUVETAT
32420;32220;SAUVIMONT
32422;32230;SCIEURAC ET FLOURES
32423;32190;SEAILLES
32426;32260;SEISSAN
32427;32230;SEMBOUES
32431;32120;SEREMPUY
32434;32110;SION
32439;32400;TARSAC
32449;32240;TOUJOUSE
32462;32190;VIC FEZENSAC
32464;32730;VILLECOMTAL SUR ARROS
32465;32420;VILLEFRANCHE
32466;32300;VIOZAN
33008;33760;ARBIS
33014;33570;LES ARTIGUES DE LUSSAC
33015;33500;ARVEYRES
33021;33124;AUROS
33022;33480;AVENSAN
33033;33880;BAURECH
33035;33710;BAYON SUR GIRONDE
33037;33640;BEAUTIRAN
33038;33340;BEGADAN
33039;33130;BEGLES
33042;33830;BELIN BELIET
33042;33830;BELIN BELIET
33043;33760;BELLEBAT
33047;33390;BERSON
33052;33500;LES BILLAUX
33057;33540;BLASIMON
33062;33910;BONZAC
33064;33350;BOSSUGAN
33069;33110;LE BOUSCAT
33074;33124;BROUQUEYRAN
33086;33420;CAMIAC ET ST DENIS
33088;33660;CAMPS SUR L ISLE
33109;33640;CASTRES GIRONDE
33111;33490;CAUDROT
33118;33360;CENAC
33120;33720;CERONS
33132;33710;COMPS
33134;33340;COUQUEQUES
33141;33750;CROIGNON
33142;33620;CUBNEZAIS
33149;33540;DAUBEZE
33151;33860;DONNEZAC
33152;33410;DONZAC
33155;33840;ESCAUDES
33157;33420;ESPIET
33170;33190;FONTET
33171;33190;FOSSES ET BALEYSSAC
33173;33570;FRANCS
33174;33126;FRONSAC
33180;33430;GANS
33188;33840;GISCOS
33192;33170;GRADIGNAN
33193;33590;GRAYAN ET L HOPITAL
50640;50240;VILLIERS LE PRE
50643;50690;VIRANDEVILLE
50648;50700;YVETOT BOCAGE
51007;51150;AMBONNAY
51008;51290;AMBRIERES
51014;51170;ARCIS LE PONSART
51015;51800;ARGERS
51017;51290;ARZILLIERES NEUVILLE
51022;51240;AULNAY L AITRE
51025;51110;AUMENANCOURT
51027;51800;AUVE
51028;51160;AVENAY VAL D OR
51029;51190;AVIZE
51034;51270;BANNAY
51039;51300;BASSU
51054;51490;BETHENIVILLE
51056;51260;BETHON
51066;51300;BLAISE SOUS ARZILLIERES
51075;51110;BOURGOGNE
51080;51290;BRANDONVILLERS
51081;51140;BRANSCOURT
51083;51800;BRAUX ST REMY
51092;51120;BROYES
51093;51530;BRUGNY VAUDANCOURT
51095;51300;LE BUISSON
51115;51500;CHAMPFLEURY
51116;51310;CHAMPGUYON
51118;51370;CHAMPIGNY
51129;51120;CHARLEVILLE
51130;51330;CHARMONT
51138;51800;CHATRICES
51160;51510;COMPERTRIX
51164;51230;CONNANTRAY VAUREFROY
51169;51320;CORBEIL
51170;51210;CORFELIX
51176;51230;CORROY
51177;51390;COULOMMES LA MONTAGNE
51179;51240;COUPEVILLE
51182;51260;COURCEMAIN
51183;51220;COURCY
51187;51170;COURLANDON
51192;51700;COURTHIEZY
51202;51480;CUMIERES
51203;51400;CUPERLY
51210;51530;DIZY
51211;51800;DOMMARTIN DAMPIERRE
51219;51290;DROSNAY
51222;51800;ECLAIRES
51224;51300;ECRIENNES
51226;51230;ECURY LE REPOS
51237;51310;ESTERNAY
51240;51340;ETREPY
51247;51270;FEREBRIANGES
51248;51230;FERE CHAMPENOISE
51258;51120;LA FORESTIERE
51263;51210;FROMENTIERES
51269;51290;GIFFAUMONT CHAMPAUBERT
51272;51330;GIVRY EN ARGONNE
51276;51230;GOURGANCON
51278;51400;LES GRANDES LOGES
51282;51390;GUEUX
51287;51160;HAUTVILLERS
51295;51300;HUIRON
51296;51320;HUMBAUVILLE
51308;51140;JONCHERY SUR VESLE
51309;51700;JONQUERY
51315;51290;LANDRICOURT
51320;51700;LEUVRIGNY
51327;51130;LOISY EN BRIE
51328;51300;LOISY SUR MARNE
51333;51500;LUDES
51336;51800;MAFFRECOURT
51340;51300;MAISONS EN CHAMPAGNE
51343;51260;MARCILLY SUR SEINE
51349;51290;MARGERIE HANCOURT
51353;51260;MARSANGIS
51356;51300;MATIGNICOURT GONCOURT
51361;51320;LE MEIX TIERCELIN
51368;51800;MINAUCOURT LE MESNIL LES HURLUS
51370;51800;MOIREMONT
51378;51530;MONTHELON
51384;51530;MORANGIS
51390;51530;MOUSSY
51397;51330;LA NEUVILLE AUX BOIS
51398;51480;LA NEUVILLE AUX LARRIS
51412;51230;OGNES
51413;51530;OIRY
51423;51340;PARGNY SUR SAULX
51449;51360;PRUNAY
51450;51500;PUISIEULX
51451;51120;QUEUDES
51452;51330;RAPSECOURT
51456;51330;REMICOURT
51459;51310;REVEILLON
51465;51480;ROMERY
51475;51290;ST CHERON
51478;52100;ST EULIEN
51480;51700;STE GEMME
51486;51600;ST HILAIRE LE GRAND
51496;51300;ST LUMIER EN CHAMPAGNE
13001;13540;AIX EN PROVENCE
13002;13190;ALLAUCH
13003;13980;ALLEINS
13016;13720;LA BOUILLADISSE
13021;13620;CARRY LE ROUET
13021;13620;CARRY LE ROUET
13024;13350;CHARLEVAL
13027;13160;CHATEAURENARD
13047;13800;ISTRES
13056;13117;MARTIGUES
13056;13500;MARTIGUES
13057;13103;MAS BLANC DES ALPILLES
13059;13650;MEYRARGUES
13060;13590;MEYREUIL
13061;13150;ST PIERRE DE MEZOARGUES
13063;13140;MIRAMAS
13066;13550;NOVES
13068;13520;PARADOU
13070;13821;LA PENNE SUR HUVEAUNE
13071;13170;LES PENNES MIRABEAU
13072;13790;PEYNIER
13073;13124;PEYPIN
13074;13860;PEYROLLES EN PROVENCE
13078;13230;PORT ST LOUIS DU RHONE
13085;13830;ROQUEFORT LA BEDOULE
13089;13670;ST ANDIOL
13100;13210;ST REMY DE PROVENCE
13102;13700;ST VICTORET
13102;13730;ST VICTORET
13103;13300;SALON DE PROVENCE
13110;13530;TRETS
13119;13470;CARNOUX EN PROVENCE
13201;13001;MARSEILLE
13208;13008;MARSEILLE
13211;13011;MARSEILLE
13213;13013;MARSEILLE
13213;13013;MARSEILLE
13213;13013;MARSEILLE
13216;13016;MARSEILLE
14003;14400;AGY
14005;14370;AIRAN
14009;14860;AMFREVILLE
14011;14240;ANCTOVILLE
14011;14240;ANCTOVILLE
14019;14400;ARGANCHY
14025;14700;AUBIGNY
14031;14140;LES AUTHIEUX PAPION
14033;14340;AUVILLARS
14047;14400;BAYEUX
14049;14480;BAZENVILLE
14055;14950;BEAUMONT EN AUGE
14056;14260;BAUQUAY
14057;14370;BELLENGREVILLE
14060;14970;BENOUVILLE
14061;14260;SOULEUVRE EN BOCAGE
14061;14350;SOULEUVRE EN BOCAGE
14061;14350;SOULEUVRE EN BOCAGE
14061;14350;SOULEUVRE EN BOCAGE
14061;14350;SOULEUVRE EN BOCAGE
14061;14350;SOULEUVRE EN BOCAGE
14061;14350;SOULEUVRE EN BOCAGE
14066;14990;BERNIERES SUR MER
14069;14100;BEUVILLERS
14086;14800;BONNEVILLE SUR TOUQUES
14089;14210;BOUGY
14090;14220;BOULON
14098;14740;BRETTEVILLE L ORGUEILLEUSE
14102;14130;LE BREUIL EN AUGE
14110;14160;BRUCOURT
14122;14210;LA CAINE
14124;14230;LA CAMBE
14125;14610;CAMBES EN PLAINE
14126;14340;CAMBREMER
14131;14800;CANAPVILLE
14132;14230;CANCHY
14140;14490;CASTILLON
14145;14190;CAUVICOURT
14146;14770;CAUVILLE
14163;14370;CLEVILLE
14165;14710;COLLEVILLE SUR MER
14171;14220;COMBRAY
14175;14400;CONDE SUR SEULLES
14181;14123;CORMELLES LE ROYAL
14186;14480;COULOMBS
14203;14430;CRICQUEVILLE EN AUGE
14214;14400;CUSSY
14216;14620;DAMBLAINVILLE
14217;14350;DAMPIERRE
14218;14430;DANESTAL
14228;14440;DOUVRES LA DELIVRANDE
14229;14430;DOZULE
14235;14710;ECRAMMEVILLE
14242;14610;EPRON
14257;14210;EVRECY
14260;14100;FAUGUERNON
14269;14130;FIERVILLE LES PARCS
14272;14710;LA FOLIE
14286;14600;FOURNEVILLE
14290;14680;FRESNEY LE PUCEUX
14293;14590;FUMICHON
40188;40700;MOMUY
40197;40110;MORCENX
40198;40700;MORGANX
40199;40290;MOUSCARDES
40204;40250;NERBIS
40206;40300;OEYREGAVE
40210;40110;ONESSE LAHARIE
40212;40300;ORTHEVIELLE
40217;40160;PARENTIS EN BORN
40220;40320;PECORADE
40223;40700;PEYRE
40227;40410;PISSOS
40230;40465;PONTONX SUR L ADOUR
40235;40380;POYANNE
40239;40320;PUYOL CAZALET
40243;40370;RION DES LANDES
40245;40120;ROQUEFORT
40246;40630;SABRES
40252;40700;STE COLOMBE
40254;40300;ST CRICQ DU GAVE
40260;40380;ST GEOURS D AURIBAT
40265;40240;ST JULIEN D ARMAGNAC
40275;40270;ST MAURICE SUR ADOUR
40278;40200;ST PAUL EN BORN
40281;40280;ST PIERRE DU MONT
40287;40460;SANGUINET
40290;40800;SARRON
40291;40230;SAUBION
40298;40700;SERRES GASTON
40302;40110;SINDERES
40306;40300;SORDE L ABBAYE
40310;40140;SOUSTONS
40311;40260;TALLER
40321;40320;URGONS
40326;40560;VIELLE ST GIRONS
40327;40240;VIELLE SOUBIRAN
40330;40110;VILLENAVE
40332;40160;YCHOUX
40333;40110;YGOS ST SATURNIN
41005;41170;ARVILLE
41007;41310;AUTHON
41016;41130;BILLY
41017;41240;BINAS
41020;41800;BONNEVEAU
41022;41270;BOUFFRY
41026;41160;BREVAINVILLE
41027;41370;BRIOU
41031;41120;CELLETTES
41038;41320;LA CHAPELLE MONTMARTIN
41042;41110;CHATEAUVIEUX
41074;41220;DHUIZON
41075;41270;DROUE
41078;41360;EPUISAY
41081;41100;FAYE
41095;41160;FRETEVAL
41097;41130;GIEVRES
41102;41800;HOUSSAY
41103;41310;HUISSEAU EN BEAUCE
41104;41350;HUISSEAU SUR COSSON
41116;41100;LISLE
41119;41370;LORGES
41125;41210;MARCILLY EN GAULT
41126;41110;MAREUIL SUR CHER
41128;41330;MAROLLES
41142;41190;VALENCISSE
41146;41400;MONTHOU SUR CHER
41147;41120;LES MONTILS
41150;41250;MONT PRES CHAMBORD
41152;41210;MONTRIEUX EN SOLOGNE
41154;41160;MOREE
41155;41500;MUIDES SUR LOIRE
41156;41500;MULSANS
41176;41300;PIERREFITTE SUR SAULDRE
41178;41370;LE PLESSIS L ECHELLE
41179;41270;LE POISLAY
41191;41370;ROCHES
41193;41270;ROMILLY
41207;41500;ST DYE SUR LOIRE
41209;41100;ST FIRMIN DES PRES
41210;41290;STE GEMMES
41215;41800;ST JACQUES DES GUERETS
41218;41320;ST JULIEN SUR CHER
41220;41220;ST LAURENT NOUAN
41221;41370;ST LEONARD EN BEAUCE
41226;41100;ST OUEN
41230;41000;ST SULPICE DE POMMERAY
41246;41120;SEUR
41255;41800;TERNAY
41273;41290;VIEVY LE RAYE
41273;41290;VIEVY LE RAYE
41275;41160;LA VILLE AUX CLERCS
41291;41100;VILLETRUN
41297;41600;YVOY LE MARRON
42003;42820;AMBIERLE
42005;42160;ANDREZIEUX BOUTHEON
42006;42550;APINAC
42017;42660;LE BESSAT
42020;42210;BOISSET LES MONTROND
42034;42440;CERVIERES
42048;42190;CHANDON
80280;80210;ERCOURT
80285;80160;ESSERTAUX
80294;80200;ETERPIGNY
80298;80360;ETRICOURT MANANCOURT
80299;80250;LA FALOISE
80302;80500;FAVEROLLES
80306;80500;FESCAMPS
80308;80210;FEUQUIERES EN VIMEU
80318;80420;FLIXECOURT
80319;80540;FLUY
80327;80150;FONTAINE SUR MAYE
80333;80120;FORT MAHON PLAGE
80341;80310;FOURDRINOY
80369;80370;FROHEN SUR AUTHIE
80373;80220;GAMACHES
80375;80290;GAUVILLE
80379;80440;GLISY
80388;80140;GREBAULT MESNIL
80390;80250;GRIVESNES
80392;80600;GROUCHES LUCHUEL
80402;80290;GUIZANCOURT
80404;80240;GUYENCOURT SAULCOURT
80406;80490;HALLENCOURT
80410;80400;HAM
80417;80131;HARBONNIERES
80420;80560;HARPONVILLE
80421;80700;HATTENCOURT
80425;80560;HEDAUVILLE
80436;80290;HESCAMPS
80440;80370;HIERMONT
80445;80600;HUMBERCOURT
80446;80140;HUPPY
80451;80300;IRLES
80453;80500;LABOISSIERE EN SANTERRE
80477;80150;LIGESCOURT
80480;80140;LIGNIERES EN VIMEU
80481;80320;LIHONS
80484;80430;LIOMER
80485;80160;LOEUILLY
80489;80330;LONGUEAU
80501;80150;MAISON PONTHIEU
80502;80135;MAISON ROLAND
80503;80370;MAIZICOURT
80515;80290;MARLERS
80532;80340;MERICOURT SUR SOMME
80540;80300;MESNIL MARTINSART
80542;80190;MESNIL ST NICAISE
80545;80110;MEZIERES EN SANTERRE
80548;80135;MILLENCOURT EN PONTHIEU
80549;80300;MIRAUMONT
80551;80320;MISERY
80560;80300;MONTAUBAN DE PICARDIE
80561;80500;MONTDIDIER
80562;80260;MONTIGNY SUR L HALLUE
80565;80260;MONTONVILLERS
80566;80670;FIEFFES MONTRELET
80573;80290;MORVILLERS ST SATURNIN
80574;80690;MOUFLERS
80584;80260;NAOURS
80587;80140;NESLETTE
80589;80150;NEUILLY LE DIEN
80590;80132;NEUILLY L HOPITAL
80596;80600;NEUVILLETTE
80598;80860;NOUVION
80600;80860;NOYELLES SUR MER
80601;80240;NURLU
80604;80290;OFFIGNIES
80611;80160;ORESMAUX
80613;80460;OUST MAREST
80627;80160;PLACHY BUYON
80630;80290;POIX DE PICARDIE
80639;80260;POULAINVILLE
80642;80370;PROUVILLE
80643;80160;PROUZEL
80648;80300;PYS
80657;80250;QUIRY LE SEC
80667;80500;REMAUGIES
80676;80700;ROIGLISE
80679;80740;LE RONSSOY
80683;80190;ROUY LE GRAND
80692;80970;SAILLY FLIBEAUCOURT
80695;80360;SAILLY SAILLISEL
80709;80140;ST MAULVIS
80716;80135;ST RIQUIER
80717;80160;ST SAUFLIEU
80723;80540;SAISSEVAL
80728;80290;SAULCHOY SOUS POIX
80730;80470;SAVEUSE
80732;80140;SENARPONT
80735;80540;SEUX
80736;80490;SOREL EN VIMEU
80738;80310;SOUES
80743;80340;SUZANNE
80748;80240;TEMPLEUX LE GUERARD
80762;80240;TINCOURT BOUCLY
80763;80132;LE TITRE
80781;80131;VAUVILLERS
80796;80140;VILLEROY
80804;80690;VILLERS SOUS AILLY
80805;80500;VILLERS TOURNELLE
33203;33990;HOURTIN
33209;33420;JUGAZAN
33214;33680;LACANAU
33220;33460;LAMARQUE
33224;33540;LANDERROUET SUR SEGUR
33226;33550;LANGOIRAN
33227;33210;LANGON
33232;33840;LARTIGUE
33234;33360;LATRESNE
33238;33850;LEOGNAN
33241;33550;LESTIAC SUR GARONNE
33242;33220;LES LEVES ET THOUMEYRAGUES
33243;33500;LIBOURNE
33249;33310;LORMONT
33251;33125;LOUCHATS
33257;33420;LUGAIGNAC
33262;33460;MACAU
33268;33460;MARGAUX
33272;33620;MARSAS
33273;33127;MARTIGNAS SUR JALLE
33279;33210;MAZERES
33280;33390;MAZION
33284;33380;MIOS
33290;33570;MONTAGNE
33293;33450;MONTUSSAN
33301;33420;NAUJAN ET POSTIAC
33303;33750;NERIGEAN
33304;33580;NEUFFONS
33307;33730;NOAILLAN
33312;33290;PAREMPUYRE
33317;33240;PERISSAC
33323;33490;LE PIAN SUR GARONNE
33324;33220;PINEUILH
33328;33500;POMEROL
33337;33210;PREIGNAC
33341;33710;PUGNAC
33343;33210;PUJOLS SUR CIRON
33350;33420;RAUZAN
33361;33350;RUCH
33362;33910;SABLONS
33369;33220;ST ANDRE ET APPELLES
33378;33220;ST AVIT ST NAZAIRE
33378;33220;ST AVIT ST NAZAIRE
33379;33540;ST BRICE
33384;33330;ST CHRISTOPHE DES BARDES
33389;33820;ST CIERS SUR GIRONDE
33399;33540;ST FELIX DE FONCAUDE
33401;33350;STE FLORENCE
33403;33490;STE FOY LA LONGUE
33404;33580;STE GEMME
33413;33750;ST GERMAIN DU PUCH
33416;33920;ST GIRONS D AIGUEVIVES
33426;33330;ST LAURENT DES COMBES
33427;33540;ST LAURENT DU BOIS
33433;33450;ST LOUBES
33441;33390;ST MARTIN LACAUSSADE
33445;33910;ST MARTIN DU BOIS
33447;33230;ST MEDARD DE GUIZIERES
33453;33190;ST MICHEL DE LAPUJADE
33457;33210;ST PARDON DE CONQUES
33460;33350;ST PEY DE CASTETS
33464;33760;ST PIERRE DE BAT
33466;33750;ST QUENTIN DE BARON
33467;33220;ST QUENTIN DE CAPLONG
33470;33240;ST ROMAIN LA VIRVEE
33471;33250;ST SAUVEUR
33473;33920;ST SAVIN
33474;33650;ST SELVE
33475;33710;ST SEURIN DE BOURG
33476;33180;ST SEURIN DE CADOURNE
33479;33190;ST SEVE
33488;33420;ST VINCENT DE PERTIGNAS
33492;33920;ST YZAN DE SOUDIAC
33500;33710;SAMONAC
33504;33210;SAUTERNES
33516;33790;SOUSSAC
33519;33320;LE TAILLAN MEDOC
33527;33470;LE TEICH
33528;33680;LE TEMPLE
33529;33260;LA TESTE DE BUCH
33531;33420;TIZAC DE CURTON
33535;33370;TRESSES
34001;34290;ABEILHAN
34004;34210;AGEL
34013;34800;ASPIRAN
34019;34260;AVENE
34024;34540;BALARUC LE VIEUX
